year,Median,Mean
2013,1.855934,2.774659369971811
2014,2.548903,3.7983925739206286
2015,4.203786,5.194075892333336
2016,6.588233,7.880166723824844
2017,9.146886,9.948202610580342
2018,10.131221,10.998148472444244
2019,12.10440202,12.670898853889316
2020,14.670594,14.838102859904529
2021,14.8581855,14.5676523879261
2022,15.998892,15.57907127128679
2023,17.467485,16.896953194787596
2024,19.08039,18.791858782717032
2025,20.12388,20.282970924002292
2026,20.161776600000003,20.53439920419081
